ccode,year,cabbr,country,gdppc95d,gdppppd,tradegdp,war,iwar,regime,bwpct,biwpct,nwpct,niwpct,wbcode,AandC,adults,adrate,women,child,deaths,pop,adpop,areakm2,cen_lat,cen_lon,popden,CIA,cudead,irate,ipopden,ipop,cty_year,refsin,asylin,refsout,asylout,longxlat,politylag,warlag,iwarlag,logtrade,loggdp,interst,intrast,intlized,location,count,countlag,loclag,interlag,intralag,iratelag,refxirat,incxirat,excxirat,gdpxirat,year1900,logirate,polxirat,fehat,fese,rehat,rese,slaghat,slagse,serrhat,serrse,Solshat,Sfehat,Srehat,Slaghat,Serrhat,felb,feub,reub,relb,slagub,slaglb,serrub,serrlb,pollagsq,exppollg,lnpollag,adrate2,AGEA,AGEI,AUT,BRITCOL,CATH,COMEX,EDT,EDTG,ELF60,ETHNIC,GINI,GXPDEDUC,GXPDHLTH,GXPDSSEC,GXPKTOTL,INEQ,INST,LEGSELEC,MOSLEM,OIL,PROT,REGION,REGION2,RELIGION,RIOTS,STRIKES,UNSTABLE,WAR,TAXGDP,TAXGNP,TREV,PRIVCON,INCOMEY,INCOMET,DIRT,INDIRT,democ,autoc,polity,polity2,durable,xrreg,xrcomp,xropen,xconst,parreg,parcomp,exrec,exconst,polcomp,bdate,bprec,change,d3,sf,regtrans,BANKScode,Radios,Newspapers,Assinations,GenStrikes,GovCrises,Purges,Riots,Revolutions,AntiGovDem,ConflictIndex,RegimeType,Coups,HeadofState,Guerilla,RegisteredVoters,MajConstChg,Premier,Legselec,NatGovRevenue,NatGovExpend,defenseovertotal,name,chcode,longname,coding_differs,WorldBankCode,WorldBankName,fatlev1,hostlev1,legselec,esolow,bhkavg,exchprem,sh_staa,sh_med_b,sh_med_p,sh_h2o_s,immig,emig,ID,NAME,PR,CL,cap,milper,milex,energy,irst,majpow,warnoEX,EXdeaths,EXintside,EXinitiate,sysstat,EX_war_start,EXduration,EX_WAR,number_of_EXwars,biggestEXwar,warno,duration,outcome,initiate,is_war_start,IS_WAR,number_of_ISwars,biggestISwar,warnoCL,CLdeaths,CLintside,CLinitiate,CL_war_start,CLduration,CL_WAR,number_of_CLwars,biggestCLwar,ai,sd,ainew,sdnew,idgurr,worldbankcode,WB_pop,WB_gdppc_constUS95,WB_growth,WB_gdp_curUS,WB_gdp95,Aid_pcUS,FemSec,Doctors,MilPerson,MilEx,MilExGNI,InfMort,LowBirth,LifeExp,Labor_PrimEd,ImmuneMEASLES,ImmuneDPT,Illiteracy,Beds,HealthEXP,HealthExpPPP,GrossNatSaving,GrossDomSaving,Capital_formation,Saving_dom,FDI,Foreign_Finnace,ConsumptionSpending,Expenditure,Deathrate,newspaper,HealthExpend,EducExpend,CapitalExpend_tot,CurRevenue,GrossDomInvest,GovDebt,Birthrate,total_aid,aid_cap_constUS,aid_gdp,CapitalExpend,rgdpch,rgdpl,c,i,g,rgdptt,y,cgdp,cc,ci,cg,p,pc,pi,pg,xr,rgdpea,rgdpw,kapw,kdur,knres,kother,kres,ktranp,open,rgnp,ipri,stliv,finittrm,yrcurnt,military,auton,eda,strikes,nspolpr,agovdem,govtcris,corrupti80_89,purges,coups,riots,constchg,cabchg,genocide,worldbankname,NatYr,cowreg,regyr,demaut,lpop,lpop_WB,s,S,W,W_extend,W_mod,polityW,polityWn,Parl_Pres,w2,demaut2,WoverS,dbigw,dW,dw30,lagW,lagW2,dwos30,grow,LongGR1,LongGR2,LongGR3,LongGR4,lagGrow,lrgdpc,laglrgdpc,lgdpWB,laglgdpWB,VarGrow,VarGrow_,build,bal_bud,VarBud,Var_bud,Klepto,nexcap,Acname,Astate,Aname,Asource,Anotes,assass,autoc1,democ1,asscount,newpolty,type1,type2,type3,type4,conflict,meanreb,maxreb,meanprot,maxprot,annpolty,poldisim,newcomp,populat,intAC,extAC,majxdis,Nxrreg,Nxrcomp,Nxropen,Nxconst,Nparreg,Nparcomp,Ndemoc,Nautoc,Ndma,totalimp,totalexp,tottrade,popul,popopen,popmils,in_cap_ar1,in_maj_ar1,simxopen,cwsxopen,cwmxopen,assdurat,stateid,kg_pop,rgdp85pc,gdppc,origin,newopen,disxopen,kgpopmil,maj_hat,maj_se,maj_in,cap_hat,cap_se,cap_in,poltysq,polityrel,majxopen,rgdp1000,inmodel,cap100,capxopen,asshat,yearsq,YEAR,YEARSQ,coldwar,POLITY,DPOLITY,POLTYdif,POLITYWRECK,UNREG,ELECT,OPEN,SELECT,POWER,REPRESS,SELxPOW,SELxREP,POWxREP,THREEWAY,ConfIn1000,UNREST,INSTAB,rgdpsq,indata,asssum,id,_st,_d,_t,_t0,APSAprob,APSAhat,civilwar,REPRESSSQ,POWERSQ,SELECTSQ,meanREP,meanPOW,mREPxmPOW,REPdif,POWdif,REPdxPOWd,intAClag,extAClag,logadrate,logpopden,civilwarlag,rgdplag,dum97,dum99,dum01,politywrecklag,lngdp,lntrade,refsmill,gnipc,docsperK,healthexp,topteninc,poverty,loggni,healthlag,moransi,subsaharan,moransilag,moransichange,interxgdp,intraxgdp,refstotal,muslperc,lnMuslPerc,literacy,_est_GDP,_est_TRADE,_est_HEALTHEXP,_est_REFS,_est_AIDS,logdeaths,gdphat,tradehat,healthexphat,refshat,_est_full_lag,_est_reduced_lag,logiratelag,logratechange,logrefsin,newlaghats,newerrorhats,logpop,logadults,logpopsq,INTERST,INTRAST,INTERSTlag1,INTERSTlag2,INTERSTlag3,INTERSTlag4,INTRASTlag1,INTRASTlag2,INTRASTlag3,INTRASTlag4,INTERSTavg,INTRASTavg,IDPs,altIDPs,lnIDPs
540,2001,AGO,Angola,,1.33,72.93,1,1,,,,,,AGO,350000,320000,5.5,190000,37000,24000,13527,5767,1235014,-12.35773,17.739441,.010952912,,,5.5,.010952912,13527,5402001,12,0,439,0,-219.21922,-3,1,1,4.2895002,7.192934,,,,,,2,3,0,0,4.138,49.655998,0,0,5.50354,2001,1.704748,-12.414,5.2382851,1.0299852,4.5975385,.32492754,3.2436087,.53857052,4.3560662,.062312115,4.4335461,4.5547247,4.5465798,3.3252962,4.8870249,3.2195141,7.2570562,5.2343965,3.9606805,4.2992067,2.1880105,4.4781981,4.2339344,9,.049787067,,2365.6392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1.704748,-4.5141497,0,,0,0,1,0,.28517899,4.2895002,.012,1610,,4.4000001,,,7.3839893,3.5,.068999998,1,,,0,0,451,0,-.69314718,42,1,1,1,1,1,10.085809,-.38335559,3.6969819,4.0074544,.047107883,1,1,1.4202126,.28453541,2.4849067,.86279684,-.20274246,9.5124426,12.676076,90.486565,,,0,0,0,0,0,3,3,1,0,1.75,202000,202000,12.216023
434,2001,BEN,Benin,,1.04,6.96,0,0,,,,,,BEN,120000,110000,3.5999999,67000,12000,8100,6446,2929,116045.6,9.6165133,2.5529239,.055547129,,,3.5999999,.055547129,6446,4342001,5,0,0,0,24.550226,6,0,0,1.9401795,6.9469762,,,,,,0,0,0,0,3.0235,15.1175,0,0,3.1444399,2001,1.2809339,18.140999,3.165705,.57581103,3.452065,.41290382,2.0098178,.6142633,3.5112231,.16537724,3.2408876,3.4034035,3.3641112,2.1818988,3.7263057,2.0371153,4.2942944,4.2613564,2.6427736,3.213774,.80586177,3.8353624,3.1870837,36,403.4288,1.7917595,1706.4846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.2809339,-2.8905234,0,,0,0,1,0,.039220676,1.9401795,.0049999999,1020,,4.4000001,,,6.9275579,4.1999998,-.003,1,-.0040000002,.0010000002,0,0,5,20,2.9957323,39,1,1,1,1,1,8.9996195,-.28194848,3.415555,4.5818315,.027685227,1,1,1.106415,.17451882,1.6094379,-.10689644,-1.3543581,8.7712154,11.608235,76.934219,,,0,0,0,0,0,0,0,0,0,0,0,1,0
571,2001,BWA,Botswana,,7.8000002,37.099998,0,0,,,,,,BWA,330000,300000,38.799999,170000,28000,26000,1554,762,589403.19,-22.26193,23.95509,.0026365654,,,38.799999,.0026365654,1554,5712001,4,0,0,0,-533.28656,9,0,0,3.6136169,8.9618788,,,,,,0,0,0,0,37.300499,149.202,0,0,290.94391,2001,3.6584203,335.7045,29.7803,2.3355355,36.358467,1.3085976,37.370506,1.7213076,42.188953,1.2888378,39.921696,38.812851,39.731522,37.347649,39.424801,25.20265,34.357948,38.923317,33.793617,40.74427,33.996742,44.715076,39.66283,81,8103.084,2.1972246,19305.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.6584203,-5.9382782,0,,0,0,1,0,2.0541236,3.6136169,.0040000002,7220,,6.5999999,,,8.8846102,6,.82300001,1,.75999999,.063000023,0,0,4,0,-.69314718,78,1,1,1,1,1,10.165852,1.0594128,3.8514016,5.3774052,.052350987,1,1,3.6190066,.039413691,1.3862944,.61312091,-1.1645504,7.3485875,12.611538,54.00174,,,0,0,0,0,0,0,0,0,0,0,0,1,0
516,2001,BDI,Burundi,,.60000002,4.0300002,1,1,,,,,,BDI,390000,330000,8.3000002,190000,55000,40000,6502,2887,28289.77,-3.5147741,30.0655,.22983573,,,8.3000002,.22983573,6502,5162001,28,0,376,0,-105.67344,-1,1,1,1.3937664,6.3969297,,,,,,1,3,0,3,9.8099995,274.67999,29.429998,0,5.8859997,2001,2.1162555,-9.8099995,10.243737,2.7061791,10.081689,.78604275,7.271759,.99515384,9.2078247,.3527129,10.503317,10.414117,10.56449,9.1443615,10.794248,4.9396262,15.547849,11.622333,8.5410452,9.2222605,5.3212576,9.8991423,8.5165071,1,.36787945,,5075.3613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2.1162555,-1.4703904,0,,0,0,1,0,-.51082557,1.3937664,.028000001,610,,3.5999999,,,6.4134588,3.5,.126,1,.34099999,-.21499999,0,-1.5324767,404,10,2.3025851,49,1,1,1,1,1,10.596635,-.48506781,2.5575173,3.8781955,.079131119,1,1,2.2834022,-.16714668,3.3322046,-.60176945,-.72460639,8.7798653,12.706848,77.086037,,,0,0,0,0,3,2,3,2,0,2.5,20000,20000,9.9034872
471,2001,CMR,Cameroon,,1.7,13.64,0,0,,,,,,CMR,920000,860000,11.8,500000,69000,53000,15203,7065,463006.31,5.680264,12.92409,.032835405,,,11.8,.032835405,15203,4712001,32,0,0,0,73.412247,-4,0,0,2.6130066,7.4383836,,,,,,0,0,0,0,9.7655001,312.496,0,0,16.601351,2001,2.4680996,-39.062,12.218043,.60081965,11.222578,.32413688,8.9687862,.57286459,10.554613,.25856301,10.455697,10.368147,10.517278,9.0987082,10.747903,11.040437,13.39565,11.857886,10.58727,10.0916,7.8459716,11.061397,10.04783,16,.018315639,,5656.7783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.4680996,-3.4162478,0,,0,0,1,0,.53062826,2.6130066,.032000002,1850,,3.3,35.386951,40.200001,7.5229411,3.0999999,.064999998,1,.043000001,.021999996,0,0,32,20,2.9957323,68,1,1,1,1,1,10.878047,.54685056,4.006886,4.6337099,.064140409,1,1,2.2788558,.18924379,3.4657359,-.37872651,-1.0420724,9.6292477,13.664688,92.722412,,,0,0,0,0,0,0,0,0,0,0,0,1,0
482,2001,CAF,Central African Republic,,1.3,6.96,0,0,,,,,,CAF,150000,130000,12.9,76000,18000,14000,8135,3570,631687.81,6.5045552,20.602421,.012878197,,,12.9,.012878197,8135,4822001,49,0,2,0,134.00958,-7,0,0,1.9401795,7.1701198,,,,,,0,0,0,0,13.3685,655.05652,0,0,17.379049,2001,2.5572274,-93.579498,17.558147,.9554593,15.569201,.44930783,12.728518,.63822395,14.651391,.43682945,14.311371,14.090183,14.340009,12.795129,14.500322,15.685447,19.430847,16.449844,14.688559,13.979438,11.477599,15.507577,13.795205,49,.00091188197,,1598.0332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.5572274,-4.3522196,0,,0,0,1,0,.26236424,1.9401795,.048999999,1180,,4.5,,,7.0732698,4.3000002,.075999998,1,.097999997,-.022,0,0,51,15,2.7080503,50,1,1,1,1,1,9.546813,-.043332424,3.9151089,3.9875739,.059653249,1,1,2.5929012,-.035673857,3.8918202,1.017813,.23345959,9.003931,11.77529,81.070778,,,0,0,0,0,0,0,0,0,0,0,0,1,0
483,2001,TCD,Chad,,1.03,4.4400001,1,1,,,,,,TCD,250000,220000,12.9,130000,25000,22000,3782,1722,1268417,15.31419,18.80826,.0029816693,,,12.9,.0029816693,3782,4832001,15,0,35,0,288.03326,-2,1,1,1.4906543,6.937314,,,,,,1,1,0,1,7.7944999,116.9175,7.7944999,0,8.0283346,2001,2.5572274,-15.589,10.648098,1.2877136,8.9929962,.38454208,6.7680116,.5969438,8.3742924,.20938827,8.3464727,8.3320284,8.426074,7.0766034,8.6951628,8.1241789,13.172017,9.7466984,8.2392941,7.9380212,5.598002,8.7846937,7.9638915,4,.13533528,,5817.0278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2.5572274,-5.8152719,0,,0,0,1,0,.029558774,1.4906543,.015,940,,2.5999999,,,6.84588,3.0999999,-.041000001,1,0,-.041000001,0,.029558774,50,51,3.9318256,44,1,1,1,1,1,9.9987974,.26694262,3.5272181,3.8380389,.065373808,1,1,2.0534184,.50380898,2.7080503,.00031406494,-.70791078,8.2380085,12.301383,67.864784,,,0,0,0,0,1,1,1,1,0,1,0,1,0
