ccode,cabbr,country,population,popthou,popden,polity,gdppppd,tradegdp,war,adrate,healthexp,subsaharan,muslperc,literacy,internalwar,intensity
404,GNB,Guinea-Bissau,1227000,1227,.043470465,5,.89999998,11.25,0,2.8,5.9000001,Sub-Saharan,45,42,0,0
411,GNQ,Equatorial Guinea,470000,470,.019082621,-5,2.0999999,272.69,0,3.4000001,2,Sub-Saharan,0,75,1,1
420,GMB,"Gambia, The",1337000,1337,.13351908,-5,1.77,51.060001,0,1.6,6.4000001,Sub-Saharan,90,37,0,0
432,MLI,Mali,11677000,11677,.0093464227,6,.83999997,12.77,0,1.7,4.3000002,Sub-Saharan,90,28,0,0
433,SEN,Senegal,9662000,9662,.04572678,8,1.58,14.2,0,.5,4.8000002,Sub-Saharan,84,38,1,2
434,BEN,Benin,6446000,6446,.055547129,6,1.04,6.96,0,3.5999999,4.4000001,Sub-Saharan,20,39,0,0
435,MRT,Mauritania,2747000,2747,.0026856253,-6,1.8,13.88,0,1.8,3.5999999,Not Sub-Saharan,100,41,0,0
436,NER,Niger,11227000,11227,.0094965165,4,.81999999,6.8699999,0,4,3.7,Sub-Saharan,80,17,0,0
437,CIV,Cote d'Ivoire,16349000,16349,.05213901,4,1.55,23.530001,0,9.6999998,6.1999998,Sub-Saharan,37.5,50,0,0
450,LBR,Liberia,3108000,3108,.034137867,0,1.1,6.25,0,9,4.3000002,Sub-Saharan,40,81,1,1
451,SLE,Sierra Leone,4587000,4587,.06638407,2,.5,7.7800002,0,7,4.3000002,Sub-Saharan,60,36,0,0
452,GHA,Ghana,19734000,19734,.083790489,6,1.98,13.56,0,3,4.6999998,Sub-Saharan,16,73,0,0
461,TGO,Togo,4657000,4657,.077234894,-2,1.5,9.5500002,0,6,2.8,Sub-Saharan,20,58,0,0
471,CMR,Cameroon,15203000,15203,.032835405,-4,1.7,13.64,0,11.8,3.3,Sub-Saharan,20,68,0,0
475,NGA,Nigeria,116929000,116929,.12871985,4,.83999997,32.110001,0,5.8000002,3.4000001,Sub-Saharan,50,65,0,0
482,CAF,Central African Republic,8135000,8135,.012878197,5,1.3,6.96,0,12.9,4.5,Sub-Saharan,15,50,1,1
483,TCD,Chad,3782000,3782,.0029816693,-2,1.03,4.4400001,1,12.9,2.5999999,Sub-Saharan,51,44,1,1
484,COG,"Congo, Rep.",3110000,3110,.0094480542,-5,.89999998,133,0,7.1999998,2.0999999,Sub-Saharan,2,82,0,0
490,ZAR,"Congo, Dem. Rep.",52522000,52522,.022384707,0,.58999997,5.54,0,4.9000001,3.5,Sub-Saharan,10,66,1,3
500,UGA,Uganda,24023000,24023,.099891223,-4,1.2,5.6100001,0,5,5.9000001,Sub-Saharan,16,68,1,2
501,KEN,Kenya,31293000,31293,.052391712,-2,1,15.81,0,15,7.8000002,Sub-Saharan,10,83,0,0
510,TZA,Tanzania,35965000,35965,.038076244,2,.61000001,10.76,0,7.8000002,4.4000001,Sub-Saharan,35,76,0,0
516,BDI,Burundi,6502000,6502,.22983573,0,.60000002,4.0300002,1,8.3000002,3.5999999,Sub-Saharan,10,49,1,3
517,RWA,Rwanda,7949000,7949,.29134494,-4,1,4.29,1,8.8999996,5.5,Sub-Saharan,10,68,1,3
520,SOM,Somalia,9157000,9157,.014316299,0,.55000001,12.2,0,1,2.5999999,Sub-Saharan,100,38,1,1
530,ETH,Ethiopia,64459000,64459,.056753319,1,.69999999,4.3099999,0,6.4000001,3.5999999,Sub-Saharan,47.5,40,1,1
531,ERI,Eritrea,3816000,3816,.029695736,-7,.74000001,15.81,0,2.8,5.6999998,Not Sub-Saharan,50,58,0,0
540,AGO,Angola,13527000,13527,.010952912,-3,1.33,72.93,1,5.5,4.4000001,Sub-Saharan,0,42,1,3
541,MOZ,Mozambique,18644000,18644,.02386974,6,.89999998,11.43,0,13,5.9000001,Sub-Saharan,20,45,0,0
551,ZMB,Zambia,10649000,10649,.014006219,1,.87,152.07001,0,21.5,5.6999998,Sub-Saharan,1,79,0,0
552,ZWE,Zimbabwe,12852000,12852,.032596778,-6,2.45,12.86,0,33.700001,6.1999998,Sub-Saharan,1,89,0,0
553,MWI,Malawi,11572000,11572,.10429332,5,.66000003,12.57,0,15,7.8000002,Sub-Saharan,20,61,0,0
560,ZAF,South Africa,43792000,43792,.035706919,9,9.3999996,14.66,0,20.1,8.6000004,Sub-Saharan,2,86,0,0
565,NAM,Namibia,1788000,1788,.0022280593,6,4.5,40.619999,0,22.5,7,Sub-Saharan,0,83,0,0
570,LSO,Lesotho,2057000,2057,.067557916,6,2.45,18.299999,0,31,5.5,Sub-Saharan,0,83,0,0
571,BWA,Botswana,1554000,1554,.0026365654,9,7.8000002,37.099998,0,38.799999,6.5999999,Sub-Saharan,0,78,0,0
572,SWZ,Swaziland,938000,938,.054586615,-9,4.1999998,33.740002,0,33.400002,3.3,Sub-Saharan,10,80,0,0
580,MDG,Madagascar,16437000,16437,.028387552,7,.87,11.42,0,.30000001,2,Sub-Saharan,7,67,0,0
590,MUS,Mauritius,1171000,1171,.57401961,10,10.8,27.91,0,.1,3.4000001,Sub-Saharan,16.6,85,0,0
600,MAR,Morocco,30430000,30430,.073953621,-6,3.7,18.389999,0,.1,5.0999999,Not Sub-Saharan,98.699997,50,0,0
620,LBY,Libya,5408000,5408,.0033417351,-7,7.5999999,54.5,0,.2,2.9000001,Not Sub-Saharan,97,81,0,0
625,SDN,Sudan,31809000,31809,.012686712,-7,1.36,7.5100002,1,2.5999999,3.5,Not Sub-Saharan,70,59,1,3
651,EGY,"Egypt, Arab Rep.",69080000,69080,.069046855,-6,3.7,66.32,0,.1,3.9000001,Not Sub-Saharan,94,45,0,0
