respon,intrace,relgpref,cenreg,timezone,race,feminsult
1,White,Catholic,East,Eastern,White,Neutral
2,White,Protestant,South,Eastern,White,Insult
3,Black,Protestant,South,Eastern,White,Neutral
4,White,Protestant,East,Eastern,White,Neutral
5,White,Protestant,South,Eastern,White,Insult
7,White,Protestant,Midwest,Eastern,White,Insult
8,Black,Protestant,Midwest,Eastern,White,Neutral
9,White,Catholic,East,Eastern,White,Neutral
10,White,Other,East,Eastern,Asian,Neutral
11,Asian,Protestant,South,Eastern,White,Neutral
12,White,Catholic,East,Eastern,White,Neutral
13,Black,Catholic,East,Eastern,White,Neutral
14,White,None,Midwest,Eastern,Black,Neutral
15,Black,Protestant,South,Eastern,White,Neutral
16,Asian,Protestant,Midwest,Eastern,White,Insult
17,White,Protestant,South,Eastern,White,Neutral
18,White,Protestant,East,Eastern,Black,Compliment
19,White,Protestant,South,Eastern,White,Insult
20,White,Protestant,Midwest,Eastern,White,Neutral
22,White,Catholic,Midwest,Eastern,White,Compliment
23,Black,Jewish,South,Eastern,White,Insult
24,White,Catholic,South,Eastern,White,Neutral
25,White,None,Midwest,Eastern,White,Compliment
26,White,Catholic,East,Eastern,Other,Neutral
27,Asian,Catholic,East,Eastern,White,Neutral
28,White,Protestant,Midwest,Eastern,White,Insult
30,Black,Catholic,South,Eastern,White,Insult
31,Black,Catholic,Midwest,Eastern,White,Neutral
32,White,Protestant,Midwest,Eastern,White,Neutral
33,White,Protestant,Midwest,Eastern,Black,Neutral
34,White,Protestant,West,Pacific,White,Neutral
35,White,Catholic,East,Eastern,White,Compliment
36,White,Protestant,South,Central,White,Insult
37,White,Protestant,East,Eastern,White,Neutral
38,White,None,West,Pacific,White,Neutral
39,Asian,Protestant,Midwest,Eastern,White,Insult
40,White,Protestant,Midwest,Central,White,Neutral
41,White,Protestant,Midwest,Central,White,Insult
42,Black,Catholic,West,Pacific,Black,Neutral
43,Black,Catholic,Midwest,Central,White,Neutral
44,Asian,Catholic,West,Mountain,White,Neutral
45,White,Protestant,South,Eastern,White,Insult
46,White,Catholic,Midwest,Central,White,Neutral
47,Black,Catholic,Midwest,Central,White,Neutral
48,White,Protestant,Midwest,Central,White,Compliment
49,Black,Protestant,Midwest,Central,Black,Neutral
50,White,Protestant,South,Central,White,Neutral
51,White,Protestant,South,Central,Black,Neutral
52,Black,Catholic,West,Pacific,White,Neutral
53,White,Protestant,South,Central,White,Insult
54,White,Protestant,South,Central,Black,Neutral
56,White,Other,West,Hawaii,Other,Neutral
57,Asian,Protestant,West,Pacific,White,Insult
59,White,Protestant,Midwest,Central,White,Neutral
60,White,Protestant,Midwest,Eastern,White,Neutral
62,White,Protestant,West,Mountain,Other,Insult
63,Asian,Catholic,Midwest,Central,White,Neutral
64,White,Catholic,Midwest,Central,White,Compliment
65,White,Protestant,East,Eastern,White,Insult
66,White,None,Midwest,Eastern,White,Neutral
67,Black,Catholic,Midwest,Central,White,Neutral
68,White,Catholic,South,Central,Other,Insult
69,Asian,None,Midwest,Eastern,Black,Insult
70,White,Catholic,East,Eastern,White,Neutral
72,White,Jewish,West,Pacific,White,Insult
74,White,Protestant,West,Pacific,White,Neutral
75,Black,Protestant,South,Central,White,Insult
76,White,Protestant,South,Central,White,Neutral
77,White,Protestant,South,Central,White,Insult
78,White,Catholic,Midwest,Central,Black,Compliment
79,Black,Catholic,South,Eastern,White,Insult
81,Black,None,West,Bering,White,Insult
82,White,Catholic,Midwest,Central,White,Neutral
83,White,Protestant,Midwest,Central,White,Neutral
85,White,Protestant,South,Central,White,Insult
86,White,Catholic,West,Mountain,Other,Neutral
87,White,Protestant,South,Central,White,Neutral
88,White,Catholic,South,Central,White,Neutral
89,White,Protestant,West,Pacific,White,Neutral
90,White,Catholic,Midwest,Eastern,White,Insult
91,White,None,West,Pacific,White,Insult
92,Black,Protestant,West,Pacific,White,Insult
93,White,Protestant,West,Mountain,White,Insult
94,Black,None,South,Eastern,White,Neutral
95,White,Protestant,West,Pacific,White,Insult
96,White,Other,Midwest,Eastern,White,Insult
97,White,None,West,Pacific,White,Insult
98,White,Protestant,West,Pacific,White,Neutral
99,White,Protestant,South,Eastern,White,Neutral
100,White,Protestant,West,Pacific,White,Neutral
101,Black,Protestant,West,Pacific,White,Neutral
102,Asian,None,West,Pacific,White,Compliment
103,White,Protestant,Midwest,Central,White,Compliment
104,Black,Catholic,Midwest,Central,White,Insult
105,White,Protestant,South,Eastern,White,Neutral
106,Asian,Protestant,West,Pacific,White,Insult
107,White,Protestant,East,Eastern,White,Insult
108,White,Catholic,East,Eastern,White,Neutral
109,White,Protestant,East,Eastern,White,Neutral
110,White,Catholic,Midwest,Eastern,White,Neutral
111,White,Protestant,East,Eastern,Black,Neutral
112,White,Catholic,South,Eastern,White,Neutral
113,White,Protestant,South,Central,Black,Insult
114,White,None,Midwest,Eastern,White,Neutral
115,White,None,South,Eastern,White,Insult
116,Black,Protestant,South,Eastern,White,Neutral
117,White,Catholic,West,Pacific,White,Insult
118,White,Protestant,South,Central,White,Neutral
119,Black,Protestant,South,Central,White,Neutral
120,White,Protestant,Midwest,Eastern,White,Neutral
121,White,Protestant,South,Central,White,Neutral
122,White,Catholic,East,Eastern,White,Neutral
123,Black,Protestant,Midwest,Central,White,Compliment
124,White,Protestant,Midwest,Central,White,Neutral
125,Black,Catholic,South,Eastern,Black,Neutral
126,White,Protestant,Midwest,Eastern,White,Neutral
127,Black,Other,South,Central,White,Neutral
128,Black,Catholic,South,Eastern,White,Neutral
129,White,Protestant,Midwest,Eastern,Black,Neutral
130,White,Protestant,South,Central,White,Neutral
131,White,None,Midwest,Eastern,White,Neutral
132,White,Protestant,Midwest,Eastern,White,Compliment
133,White,None,West,Pacific,White,Compliment
134,Black,Catholic,East,Eastern,White,Neutral
137,White,Protestant,South,Central,Black,Insult
139,Black,None,Midwest,Eastern,White,Neutral
140,Black,Other,Midwest,Central,White,Compliment
141,White,Protestant,West,Mountain,White,Neutral
142,Black,Protestant,South,Central,White,Insult
143,White,Protestant,Midwest,Central,White,Neutral
144,White,Catholic,West,Pacific,White,Insult
145,Black,Protestant,South,Central,White,Compliment
146,White,Protestant,South,Eastern,White,Neutral
148,White,Jewish,East,Eastern,White,Insult
149,Asian,Protestant,South,Central,Black,Neutral
150,Black,None,Midwest,Central,White,Neutral
151,White,Catholic,Midwest,Central,White,Compliment
152,White,None,West,Pacific,White,Insult
153,White,Protestant,South,Central,White,Insult
154,White,Protestant,South,Eastern,White,Neutral
155,White,None,Midwest,Central,White,Compliment
156,White,Protestant,Midwest,Central,Black,Neutral
158,White,Protestant,West,Pacific,White,Compliment
159,Black,Protestant,South,Eastern,Other,Neutral
160,White,Protestant,West,Pacific,White,Neutral
161,White,None,West,Pacific,White,Neutral
162,White,Catholic,East,Eastern,Other,Neutral
164,White,Protestant,Midwest,Central,White,Neutral
165,White,Catholic,Midwest,Central,White,Compliment
166,White,Protestant,West,Mountain,White,Insult
168,White,Protestant,South,Central,White,Insult
169,White,Protestant,Midwest,Central,White,Neutral
170,White,Catholic,Midwest,Eastern,White,Neutral
171,White,None,Midwest,Eastern,White,Neutral
172,White,Protestant,Midwest,Central,White,Neutral
173,Asian,Protestant,Midwest,Central,White,Insult
174,White,Protestant,Midwest,Central,White,Neutral
175,White,Catholic,South,Central,White,Neutral
176,Black,Protestant,West,Mountain,White,Compliment
178,White,Catholic,Midwest,Central,White,Insult
179,White,Protestant,South,Central,Black,Insult
181,Black,Protestant,South,Central,Black,Neutral
182,Black,Protestant,South,Central,White,Neutral
183,White,None,South,Central,White,Neutral
184,Black,None,Midwest,Central,White,Compliment
185,White,Protestant,West,Pacific,White,Neutral
186,White,Catholic,Midwest,Central,White,Insult
188,White,Catholic,West,Mountain,White,Neutral
189,White,Catholic,South,Eastern,White,Insult
191,White,Protestant,South,Central,Black,Neutral
193,White,Catholic,East,Eastern,White,Insult
194,White,None,Midwest,Central,White,Compliment
195,White,Protestant,South,Central,White,Neutral
196,White,Catholic,Midwest,Central,White,Neutral
197,White,Catholic,West,Pacific,White,Neutral
198,White,Other,West,Pacific,White,Compliment
199,White,Catholic,South,Central,White,Insult
200,Black,Protestant,Midwest,Central,Black,Neutral
201,Black,Protestant,Midwest,Central,White,Neutral
202,White,Protestant,Midwest,Central,White,Neutral
203,White,Jewish,West,Pacific,White,Neutral
204,White,Protestant,Midwest,Central,White,Neutral
205,Black,Protestant,Midwest,Central,White,Insult
206,Black,Protestant,South,Central,White,Compliment
207,Black,None,South,Central,White,Neutral
208,White,Catholic,Midwest,Central,White,Neutral
209,Black,None,South,Eastern,White,Neutral
210,White,Protestant,West,Mountain,White,Neutral
212,White,Other,West,Pacific,Asian,Insult
213,Black,Catholic,West,Pacific,White,Neutral
214,White,None,West,Pacific,Black,Neutral
215,White,Protestant,South,Central,White,Neutral
216,White,Catholic,South,Central,Other,Neutral
217,White,Protestant,Midwest,Central,White,Neutral
219,Black,None,South,Central,White,Neutral
221,White,Protestant,South,Central,Other,Neutral
223,Asian,Protestant,West,Pacific,White,Compliment
224,White,None,West,Mountain,White,Neutral
225,White,None,West,Pacific,White,Neutral
226,Black,Protestant,East,Eastern,Black,Neutral
227,White,Protestant,South,Eastern,Black,Neutral
228,White,Protestant,East,Eastern,White,Neutral
229,White,Catholic,Midwest,Central,White,Neutral
230,Black,Protestant,West,Mountain,White,Neutral
231,White,Protestant,South,Eastern,White,Insult
232,Black,Catholic,East,Eastern,White,Neutral
233,White,Catholic,East,Eastern,White,Neutral
234,White,Protestant,West,Pacific,White,Insult
235,White,Catholic,East,Eastern,White,Insult
236,Black,Protestant,Midwest,Eastern,White,Neutral
237,White,Catholic,Midwest,Eastern,White,Insult
238,White,Protestant,Midwest,Eastern,White,Insult
239,White,Catholic,South,Central,White,Neutral
240,White,Catholic,East,Eastern,White,Neutral
241,White,Protestant,Midwest,Eastern,White,Neutral
242,Black,Protestant,Midwest,Eastern,White,Neutral
243,Black,Catholic,East,Eastern,White,Insult
244,Asian,Protestant,West,Pacific,White,Neutral
245,White,Protestant,South,Eastern,Black,Neutral
246,White,Catholic,South,Eastern,White,Neutral
248,White,Catholic,South,Mountain,Other,Neutral
249,Asian,Protestant,West,Pacific,White,Insult
251,White,None,West,Pacific,White,Neutral
253,White,Protestant,West,Mountain,White,Neutral
254,White,Protestant,West,Pacific,Black,Neutral
255,White,None,West,Pacific,White,Insult
256,Black,Protestant,West,Pacific,White,Neutral
257,Asian,Protestant,East,Eastern,White,Neutral
258,White,Protestant,South,Central,White,Compliment
259,White,Protestant,South,Central,Black,Compliment
260,White,Protestant,Midwest,Eastern,White,Insult
261,Black,Protestant,Midwest,Eastern,White,Neutral
262,White,Protestant,East,Eastern,White,Insult
263,White,None,East,Eastern,White,Compliment
264,Black,None,South,Eastern,White,Compliment
265,White,Protestant,South,Eastern,Black,Compliment
266,White,Other,East,Eastern,White,Neutral
267,Black,Catholic,East,Eastern,White,Neutral
268,Black,Protestant,South,Eastern,White,Neutral
269,White,Catholic,East,Eastern,White,Insult
270,Black,None,East,Eastern,White,Neutral
271,White,Catholic,Midwest,Central,Other,Compliment
272,White,Catholic,West,Mountain,White,Neutral
273,Black,None,West,Pacific,White,Neutral
274,White,Protestant,Midwest,Central,Black,Insult
275,Black,None,East,Eastern,White,Insult
276,Black,None,East,Eastern,White,Neutral
277,White,Protestant,South,Eastern,White,Neutral
278,White,Jewish,East,Eastern,White,Neutral
279,White,Protestant,South,Eastern,Black,Insult
280,White,Protestant,South,Eastern,White,Compliment
281,White,Protestant,East,Eastern,White,Neutral
282,White,Protestant,South,Eastern,White,Compliment
283,White,Catholic,East,Eastern,White,Neutral
285,Black,Catholic,Midwest,Eastern,White,Insult
286,Black,Jewish,East,Eastern,White,Insult
287,White,Protestant,South,Eastern,Black,Insult
288,Black,Protestant,South,Eastern,White,Neutral
289,White,Protestant,South,Eastern,White,Compliment
290,White,Other,Midwest,Eastern,Asian,Neutral
291,Asian,Protestant,East,Eastern,Black,Neutral
292,Black,Catholic,South,Eastern,White,Neutral
293,White,Catholic,South,Eastern,White,Neutral
295,White,Catholic,West,Mountain,White,Neutral
296,White,Catholic,West,Mountain,White,Neutral
297,Black,Protestant,Midwest,Eastern,White,Neutral
298,Asian,Catholic,Midwest,Central,White,Insult
299,White,None,South,Central,Black,Neutral
301,White,Protestant,South,Central,White,Neutral
303,White,Protestant,South,Central,White,Neutral
304,White,Protestant,West,Mountain,White,Insult
305,White,Protestant,Midwest,Central,Asian,Neutral
306,Asian,Protestant,South,Eastern,Black,Neutral
308,White,Catholic,Midwest,Central,White,Insult
309,Black,Catholic,West,Pacific,White,Insult
310,White,Catholic,East,Eastern,White,Insult
312,White,Other,West,Pacific,White,Neutral
313,White,None,West,Pacific,Black,Insult
314,White,Protestant,Midwest,Central,White,Compliment
315,Asian,None,East,Eastern,White,Insult
316,White,Protestant,South,Central,White,Neutral
317,White,Protestant,Midwest,Eastern,White,Neutral
318,White,Catholic,West,Pacific,White,Insult
319,Black,Protestant,South,Central,White,Insult
320,White,None,West,Pacific,White,Insult
322,White,Protestant,East,Eastern,White,Neutral
323,White,None,West,Pacific,White,Neutral
324,Black,Catholic,East,Eastern,Black,Compliment
326,Black,Protestant,South,Eastern,White,Neutral
327,White,Protestant,South,Eastern,White,Compliment
328,White,None,East,Eastern,Asian,Neutral
330,Asian,Catholic,Midwest,Central,White,Insult
331,White,Protestant,West,Pacific,White,Neutral
332,Black,None,South,Eastern,White,Insult
333,White,Protestant,South,Eastern,White,Neutral
334,White,Protestant,South,Eastern,Black,Compliment
335,White,Catholic,Midwest,Eastern,White,Neutral
336,White,Catholic,East,Eastern,White,Neutral
337,White,Catholic,East,Eastern,White,Insult
338,White,Protestant,Midwest,Eastern,White,Neutral
339,Asian,Protestant,Midwest,Eastern,Black,Insult
340,Black,None,Midwest,Eastern,White,Neutral
341,White,Protestant,West,Mountain,Asian,Compliment
342,White,Protestant,Midwest,Eastern,White,Neutral
344,Black,Catholic,East,Eastern,White,Neutral
345,White,Protestant,South,Eastern,White,Neutral
346,Black,Protestant,South,Eastern,White,Neutral
347,Black,None,East,Eastern,White,Neutral
348,White,Protestant,South,Central,White,Neutral
349,White,Protestant,East,Eastern,White,Insult
350,White,None,East,Eastern,White,Neutral
351,Black,Protestant,South,Eastern,White,Neutral
353,White,Protestant,South,Eastern,Black,Neutral
354,White,None,East,Eastern,White,Neutral
355,White,Protestant,South,Eastern,Black,Neutral
356,White,Catholic,East,Eastern,Black,Neutral
358,White,Catholic,East,Eastern,White,Neutral
359,White,None,West,Mountain,White,Insult
360,White,Catholic,East,Eastern,White,Insult
361,Asian,Protestant,South,Eastern,White,Neutral
362,White,Catholic,East,Eastern,White,Neutral
363,White,None,East,Eastern,White,Insult
364,White,Protestant,East,Eastern,White,Neutral
365,Black,Catholic,Midwest,Eastern,White,Insult
366,Black,Protestant,South,Eastern,White,Neutral
367,White,Protestant,East,Eastern,White,Neutral
368,Asian,Catholic,Midwest,Eastern,Other,Neutral
369,White,Catholic,South,Eastern,Other,Neutral
370,White,Protestant,South,Central,White,Neutral
371,Black,Protestant,Midwest,Central,White,Neutral
373,Black,None,Midwest,Eastern,White,Neutral
374,Black,Catholic,Midwest,Eastern,White,Insult
375,Asian,Protestant,South,Central,White,Neutral
376,White,Protestant,West,Pacific,White,Neutral
377,White,Catholic,Midwest,Eastern,White,Neutral
378,White,None,Midwest,Eastern,White,Neutral
379,White,Protestant,South,Eastern,White,Insult
380,White,Protestant,Midwest,Eastern,White,Neutral
381,White,Protestant,South,Eastern,White,Insult
382,White,Catholic,Midwest,Eastern,White,Neutral
383,White,Catholic,Midwest,Central,White,Neutral
384,Black,Protestant,South,Eastern,Black,Compliment
386,Black,Catholic,South,Eastern,White,Insult
387,White,Catholic,South,Eastern,White,Insult
388,Black,Protestant,South,Eastern,White,Insult
390,White,Catholic,East,Eastern,White,Neutral
391,Black,Protestant,East,Eastern,Black,Neutral
393,White,Catholic,East,Eastern,White,Neutral
394,White,Protestant,East,Eastern,White,Neutral
395,Black,Catholic,East,Eastern,White,Neutral
396,White,Catholic,Midwest,Eastern,White,Insult
397,White,Protestant,Midwest,Eastern,White,Insult
398,White,None,East,Eastern,Black,Neutral
399,White,Protestant,East,Eastern,White,Neutral
400,Asian,Protestant,Midwest,Eastern,White,Neutral
401,White,None,Midwest,Eastern,Black,Neutral
402,White,Protestant,Midwest,Eastern,Black,Neutral
403,White,Protestant,Midwest,Eastern,White,Neutral
404,White,Catholic,Midwest,Eastern,White,Neutral
405,White,Catholic,Midwest,Eastern,White,Neutral
406,Black,Protestant,South,Eastern,White,Neutral
407,White,Protestant,Midwest,Eastern,White,Neutral
408,Asian,Protestant,South,Eastern,White,Insult
409,White,None,East,Eastern,White,Neutral
410,White,Protestant,South,Eastern,White,Insult
411,Black,Protestant,East,Eastern,White,Insult
412,Black,None,South,Eastern,White,Neutral
413,Black,Jewish,East,Eastern,White,Neutral
415,White,Protestant,South,Eastern,White,Neutral
416,Black,Protestant,South,Eastern,White,Neutral
417,White,None,South,Eastern,Black,Neutral
418,White,None,East,Eastern,White,Neutral
419,Asian,Jewish,East,Eastern,White,Insult
420,White,Protestant,East,Eastern,White,Neutral
421,Asian,Protestant,Midwest,Central,White,Insult
423,Black,None,South,Eastern,White,Insult
424,Black,Catholic,West,Mountain,Other,Neutral
425,White,Catholic,Midwest,Eastern,White,Neutral
426,White,Protestant,Midwest,Eastern,Black,Neutral
427,White,Catholic,West,Mountain,White,Neutral
428,White,Protestant,East,Eastern,White,Neutral
429,White,None,Midwest,Central,White,Insult
430,Black,Protestant,West,Mountain,White,Insult
431,White,Catholic,East,Eastern,White,Neutral
432,Black,Protestant,East,Eastern,White,Neutral
433,White,Protestant,Midwest,Central,White,Insult
434,White,None,Midwest,Eastern,White,Compliment
435,White,None,East,Eastern,White,Neutral
436,White,Catholic,East,Eastern,White,Neutral
437,Asian,Protestant,South,Central,White,Neutral
438,White,None,West,Mountain,White,Neutral
440,White,Protestant,East,Eastern,White,Compliment
441,White,None,South,Eastern,White,Neutral
442,White,Other,South,Central,White,Neutral
443,White,Protestant,Midwest,Central,White,Neutral
444,White,Protestant,South,Eastern,White,Insult
445,Asian,Catholic,Midwest,Central,White,Insult
446,White,Protestant,Midwest,Central,White,Neutral
447,Black,Protestant,Midwest,Central,White,Compliment
448,Black,Other,East,Eastern,White,Neutral
449,White,Catholic,East,Eastern,White,Insult
450,White,Protestant,Midwest,Eastern,White,Insult
451,White,Protestant,South,Central,White,Compliment
453,Black,Catholic,South,Eastern,Black,Insult
454,White,Protestant,South,Central,Black,Insult
456,White,Catholic,South,Eastern,White,Neutral
457,Black,Catholic,East,Eastern,White,Neutral
458,White,Protestant,Midwest,Central,White,Neutral
459,White,Protestant,East,Eastern,Black,Neutral
460,Black,None,East,Eastern,White,Neutral
461,White,Protestant,Midwest,Central,White,Neutral
462,Black,Protestant,Midwest,Central,White,Neutral
463,White,Protestant,East,Eastern,White,Neutral
464,White,Protestant,South,Central,White,Neutral
465,Black,Catholic,Midwest,Eastern,White,Neutral
466,White,None,South,Eastern,Black,Compliment
467,White,Protestant,South,Central,White,Neutral
468,White,None,South,Central,White,Neutral
469,White,None,Midwest,Eastern,White,Compliment
470,White,Catholic,East,Eastern,White,Neutral
471,White,Catholic,East,Eastern,White,Neutral
472,White,Protestant,South,Central,White,Neutral
473,White,Catholic,South,Central,White,Neutral
474,Black,Protestant,East,Eastern,White,Neutral
475,White,Protestant,Midwest,Eastern,White,Neutral
476,White,Protestant,South,Eastern,White,Neutral
477,White,None,East,Eastern,White,Insult
478,White,Protestant,Midwest,Central,White,Insult
479,White,Protestant,East,Eastern,White,Insult
480,White,Protestant,Midwest,Central,White,Neutral
481,White,Protestant,Midwest,Central,White,Neutral
482,Black,Protestant,South,Eastern,White,Neutral
483,White,Catholic,East,Eastern,White,Neutral
484,White,Protestant,East,Eastern,White,Neutral
485,White,Catholic,South,Eastern,White,Neutral
486,White,Catholic,East,Eastern,White,Insult
487,Black,Catholic,East,Eastern,White,Insult
488,Black,Protestant,South,Eastern,White,Neutral
489,White,Protestant,South,Eastern,White,Insult
490,White,Catholic,Midwest,Eastern,White,Insult
491,Black,Protestant,East,Eastern,Black,Neutral
492,Black,Protestant,Midwest,Central,White,Insult
493,Asian,Protestant,Midwest,Central,White,Neutral
494,Black,Protestant,Midwest,Eastern,Black,Neutral
495,Black,Protestant,Midwest,Central,White,Insult
496,White,Catholic,East,Eastern,White,Neutral
497,White,None,Midwest,Eastern,White,Neutral
498,White,Catholic,Midwest,Eastern,Black,Insult
499,White,Protestant,South,Central,White,Insult
500,White,Protestant,Midwest,Central,White,Neutral
501,Black,Protestant,Midwest,Central,White,Neutral
503,Black,Protestant,Midwest,Central,White,Insult
504,White,Protestant,South,Central,White,Neutral
505,White,None,Midwest,Eastern,White,Neutral
506,Black,None,Midwest,Central,White,Neutral
507,White,Catholic,East,Eastern,White,Neutral
508,Black,Protestant,Midwest,Central,White,Compliment
509,White,Catholic,South,Central,White,Compliment
510,White,Protestant,South,Central,White,Neutral
512,White,None,East,Eastern,White,Neutral
513,Black,Protestant,South,Eastern,White,Neutral
514,White,Catholic,East,Eastern,White,Neutral
515,White,Catholic,East,Eastern,White,Insult
516,White,Protestant,East,Eastern,Black,Neutral
517,White,Protestant,South,Central,Black,Neutral
518,White,Protestant,South,Eastern,White,Insult
520,Black,None,South,Eastern,White,Insult
521,White,None,South,Eastern,White,Neutral
522,White,Catholic,East,Eastern,White,Neutral
