Name,State,District,Vote1,Vote2,Vote3,Vote4,Votesum,GOP,ADA98,CC98,ClintonVote96,UnionPercent,MemberVote98
young,AK,1,1,1,1,1,4,1,20,100,58,9.5924931,63
callahan,AL,1,1,1,1,1,4,1,0,100,39,13.260095,100
everett,AL,2,1,1,1,1,4,1,5,100,37,13.552626,69
riley,AL,3,1,1,1,1,4,1,5,100,44,16.17807,58
aderholt,AL,4,1,1,1,1,4,1,10,100,43,15.879435,56
cramer,AL,5,0,0,0,0,0,0,65,25,43,11.129876,70
bachus,AL,6,1,1,1,1,4,1,5,100,27,12.375339,72
hilliard,AL,7,0,0,0,0,0,0,100,0,72,12.627809,100
berry,AR,1,0,0,0,0,0,0,70,25,33,23.84144,100
snyder,AR,2,0,0,0,0,0,0,85,0,55,11.367878,58
hutchinson,AR,3,1,1,1,1,4,1,5,83,44,7.5940051,81
dickey,AR,4,1,0,1,0,2,1,5,100,60,9.2305269,58
salmon,AZ,1,1,1,1,1,4,1,5,100,45,6.9536672,64
pastor,AZ,2,0,0,0,0,0,0,100,0,63,7.1660767,68
stump,AZ,3,1,1,1,1,4,1,0,100,41,7.343329,67
shadegg,AZ,4,1,1,1,0,3,1,0,100,44,6.9536672,65
kolbe,AZ,5,1,1,1,0,3,1,15,58,47,7.6313801,52
hayworth,AZ,6,1,1,1,1,4,1,0,100,47,7.3747368,53
riggs,CA,1,1,1,1,0,3,1,10,92,48,21.017214,
herger,CA,2,1,1,1,1,4,1,0,100,36,21.55604,63
fazio,CA,3,0,0,0,0,0,0,100,0,45,21.902359,
doolittle,CA,4,1,1,1,1,4,1,5,100,38,21.80607,63
matsui,CA,5,0,0,0,0,0,0,95,0,57,21.705292,72
woolsey,CA,6,0,0,0,0,0,0,100,0,57,18.934376,68
miller,CA,7,,,,,,0,100,0,65,23.921438,77
pelosi,CA,8,0,0,0,0,0,0,95,0,66,23.433754,87
lee,CA,9,0,0,0,0,0,0,75,0,75,23.908426,83
tauscher,CA,10,0,0,0,0,0,0,75,8,48,23.908426,54
pombo,CA,11,1,1,1,1,4,1,10,100,46,22.399822,62
lantos,CA,12,0,0,0,0,0,0,100,0,70,23.433752,75
stark,CA,13,0,0,0,0,0,0,90,0,62,18.556482,72
eshoo,CA,14,0,0,0,0,0,0,90,0,58,16.843683,69
campbell,CA,15,1,0,1,0,2,1,35,42,53,14.139904,61
lofgren,CA,16,0,0,0,0,0,0,95,0,61,13.985025,73
farr,CA,17,0,0,0,0,0,0,100,0,55,17.915409,65
condit,CA,18,0,0,0,0,0,0,60,50,46,24.652771,87
radanovich,CA,19,1,1,1,1,4,1,0,100,40,18.167772,80
dooley,CA,20,0,0,0,0,0,0,85,0,52,18.376865,61
thomas,CA,21,1,1,1,1,4,1,0,67,34,16.166437,79
capps,CA,22,0,0,0,0,0,0,85,0,44,16.52194,55
gallegly,CA,23,1,1,1,1,4,1,15,100,45,15.147177,60
sherman,CA,24,0,0,0,0,0,0,95,8,52,17.729626,58
mckeon,CA,25,1,1,1,1,4,1,5,100,41,17.825199,75
berman,CA,26,0,0,0,0,0,0,90,0,65,17.825199,83
rogan,CA,27,1,1,1,1,4,1,0,100,49,17.825199,51
dreier,CA,28,1,1,1,1,4,1,0,100,45,17.825199,58
waxman,CA,29,0,0,0,0,0,0,100,0,66,17.825199,75
becerra,CA,30,0,0,0,0,0,0,90,0,71,17.825199,82
martinez,CA,31,0,0,0,0,0,0,75,8,65,17.825199,71
dixon,CA,32,0,0,0,0,0,0,100,0,81,17.825199,87
roybal-allard,CA,33,0,0,0,0,0,0,100,0,80,17.825199,87
torres,CA,34,0,0,0,0,0,0,90,0,64,17.825199,
waters,CA,35,0,0,0,0,0,0,80,0,84,17.825199,90
harman,CA,36,0,0,0,0,0,0,80,8,47,17.825199,
millender-mcdonald,CA,37,0,0,0,0,0,0,95,0,81,17.825199,85
horn,CA,38,1,1,1,1,4,1,20,33,53,17.825199,53
royce,CA,39,1,1,1,1,4,1,5,100,48,16.825315,63
lewis,CA,40,1,1,1,1,4,1,10,73,49,22.781506,65
kim,CA,41,1,0,0,0,1,1,15,100,43,17.490744,
brown,CA,42,0,0,0,0,0,0,100,0,53,18.508699,56
calvert,CA,43,1,1,1,1,4,1,0,100,43,22.77976,56
bono,CA,44,1,1,1,1,4,1,0,91,44,22.77976,60
rohrabacher,CA,45,1,1,1,1,4,1,5,100,38,13.148936,59
sanchez,CA,46,0,0,0,0,0,0,95,8,49,13.148936,57
cox,CA,47,1,1,1,1,4,1,0,100,36,13.148936,68
packard,CA,48,1,1,1,1,4,1,5,100,34,15.737732,77
bilbray,CA,49,1,1,1,0,3,1,20,75,49,14.936437,49
filner,CA,50,0,0,0,0,0,0,100,0,60,14.936437,100
cunningham,CA,51,1,1,1,1,4,1,0,100,38,14.936437,61
hunter,CA,52,1,1,1,1,4,1,5,100,41,15.270994,76
degette,CO,1,0,0,0,0,0,0,95,0,61,11.488804,67
skaggs,CO,2,0,0,0,0,0,0,85,0,49,10.732278,
mcinnis,CO,3,1,1,1,0,3,1,5,92,43,11.200106,67
schaffer,CO,4,1,1,1,1,4,1,5,100,41,10.362083,59
hefley,CO,5,1,1,1,0,3,1,0,100,33,9.7937803,73
schaefer,CO,6,1,1,1,1,4,1,0,100,43,11.488804,
kennelly,CT,1,0,0,0,0,0,0,85,0,59,17.27651,
gejdenson,CT,2,0,0,0,0,0,0,100,0,53,19.988962,62
delauro,CT,3,0,0,0,0,0,0,100,0,57,18.542543,72
shays,CT,4,0,0,0,0,0,1,45,58,51,15.994888,70
maloney,CT,5,0,0,0,0,0,0,85,17,48,18.653637,50
johnson,CT,6,1,1,0,0,2,1,55,17,50,18.340782,60
castle,DE,1,1,0,0,0,1,1,30,42,52,19.701895,67
scarborough,FL,1,1,0,1,0,2,1,10,100,31,8.237237,100
boyd,FL,2,0,0,0,0,0,0,65,33,47,6.6559,100
brown,FL,3,0,0,0,0,0,0,95,0,58,8.1366186,56
fowler,FL,4,1,1,1,1,4,1,5,67,36,9.5943766,100
thurman,FL,5,0,0,0,0,0,0,100,0,50,6.5160007,67
stearns,FL,6,1,1,1,1,4,1,5,100,39,9.8262758,100
mica,FL,7,1,1,1,1,4,1,10,100,43,6.7253242,100
mccollum,FL,8,1,1,1,1,4,1,5,92,44,7.1662264,66
bilirakis,FL,9,1,1,1,1,4,1,5,100,44,6.816844,100
young,FL,10,1,1,1,1,4,1,0,83,51,6.816844,100
davis,FL,11,0,0,0,0,0,0,85,17,52,6.816844,65
canady,FL,12,1,1,1,1,4,1,5,92,43,7.4147201,100
miller,FL,13,1,1,1,1,4,1,10,83,43,6.8568478,100
goss,FL,14,1,1,1,0,3,1,5,100,38,6.092907,100
weldon,FL,15,1,1,1,1,4,1,0,100,41,9.0188999,63
foley,FL,16,1,0,1,0,2,1,20,67,47,7.1844339,100
meek,FL,17,0,0,0,0,0,0,95,0,85,9.080101,100
ros-lehtinen,FL,18,1,1,1,1,4,1,15,92,43,9.080101,100
wexler,FL,19,0,0,0,0,0,0,100,0,65,8.3904266,100
deutsch,FL,20,0,0,0,0,0,0,95,0,59,9.1193151,100
diaz-balart,FL,21,1,1,1,1,4,1,25,92,45,9.080101,75
shaw,FL,22,1,0,1,0,2,1,10,75,54,8.7197981,100
hastings,FL,23,0,0,0,0,0,0,80,0,74,8.6272907,100
kingston,GA,1,1,1,1,1,4,1,0,100,45,7.2072134,100
bishop,GA,2,0,0,0,0,0,0,70,17,49,8.0760527,57
collins,GA,3,1,1,1,1,4,1,0,91,42,8.6990585,100
mckinney,GA,4,0,0,0,0,0,0,100,0,64,8.6880093,61
lewis,GA,5,0,0,0,0,0,0,90,0,74,8.6880093,79
gingrich,GA,6,1,1,1,1,4,1,5,100,33,8.6880093,71
barr,GA,7,1,1,1,1,4,1,5,100,40,7.8069844,55
chambliss,GA,8,1,1,1,1,4,1,0,91,47,7.5101218,62
deal,GA,9,1,1,1,1,4,1,10,100,35,8.3277073,100
norwood,GA,10,1,1,1,1,4,1,5,100,48,7.8857198,59
linder,GA,11,1,1,1,1,4,1,0,100,37,8.1922941,69
abercrombie,HI,1,0,0,0,0,0,0,95,0,57,37.329899,62
mink,HI,2,0,0,0,0,0,0,95,0,57,37.329899,70
leach,IA,1,1,1,0,0,2,1,45,33,54,16.197481,57
nussle,IA,2,1,1,1,1,4,1,10,100,53,14.428824,56
boswell,IA,3,0,0,0,0,0,0,65,17,50,13.51045,57
ganske,IA,4,1,1,1,0,3,1,5,83,49,14.214688,66
latham,IA,5,1,1,1,0,3,1,0,100,44,13.674481,100
chenowith,ID,1,1,1,1,1,4,1,20,100,35,9.8356247,55
crapo,ID,2,1,1,1,1,4,1,10,100,32,10.052397,
rush,IL,1,0,0,0,0,0,0,95,0,85,21.491531,87
jackson,IL,2,0,0,0,0,0,0,100,0,85,21.491531,90
lipinski,IL,3,0,0,0,0,0,0,45,64,53,21.491531,72
gutierrez,IL,4,0,0,0,0,0,0,90,0,80,21.491531,82
blagojevich,IL,5,0,0,0,0,0,0,100,0,63,21.491531,74
hyde,IL,6,1,1,1,1,4,1,0,92,42,21.491531,68
davis,IL,7,0,0,0,0,0,0,95,0,82,21.491531,93
crane,IL,8,1,1,1,1,4,1,0,100,41,20.801678,68
yates,IL,9,0,0,0,0,0,0,60,0,69,21.491531,
porter,IL,10,1,1,1,0,3,1,15,50,50,20.801678,100
weller,IL,11,1,1,1,0,3,1,15,100,51,21.705717,59
costello,IL,12,0,0,0,0,0,0,90,45,56,21.135361,60
fawell,IL,13,1,1,1,0,3,1,5,58,41,21.627621,
hastert,IL,14,1,1,1,1,4,1,0,100,41,20.970482,70
ewing,IL,15,1,1,1,1,4,1,0,92,45,19.113432,62
manzullo,IL,16,1,1,1,1,4,1,0,100,42,18.316097,100
evans,IL,17,0,0,0,0,0,0,90,8,51,22.178337,52
lahood,IL,18,1,1,1,1,4,1,20,83,44,21.515329,100
poshard,IL,19,0,0,0,0,0,0,85,42,47,23.090103,
shimkus,IL,20,1,1,1,0,3,1,10,100,47,21.578773,61
visclosky,IN,1,0,0,0,0,0,0,90,27,58,14.584994,73
mcintosh,IN,2,1,1,1,0,3,1,0,100,42,20.731354,61
roemer,IN,3,0,0,0,0,0,0,65,50,43,18.111143,58
souder,IN,4,0,0,1,0,1,1,15,100,36,19.747957,63
buyer,IN,5,1,1,1,1,4,1,15,91,37,26.357016,63
burton,IN,6,1,1,1,1,4,1,5,100,28,15.014582,73
pease,IN,7,1,1,1,1,4,1,0,100,35,18.766222,69
hostettler,IN,8,1,1,1,1,4,1,10,92,45,19.918129,52
hamilton,IN,9,0,0,0,0,0,0,55,33,44,19.465109,
carson,IN,10,0,0,0,0,0,0,95,0,54,32.422581,58
moran,KS,1,1,1,1,0,3,1,10,92,28,10.726969,81
ryun,KS,2,1,1,1,1,4,1,0,100,39,12.423209,61
snowbarger,KS,3,1,1,1,1,4,1,5,100,42,16.308916,
tiahrt,KS,4,1,1,1,1,4,1,0,100,35,12.171443,59
whitfield,KY,1,1,1,1,0,3,1,5,100,47,14.373994,55
lewis,KY,2,1,1,1,1,4,1,0,100,41,16.524637,64
northrup,KY,3,1,1,1,0,3,1,0,100,53,18.481527,52
bunning,KY,4,1,1,1,1,4,1,0,100,41,16.132011,
rogers,KY,5,1,1,1,0,3,1,5,100,47,13.975525,78
baesler,KY,6,0,0,0,0,0,0,65,17,46,9.8873281,
livingston,LA,1,1,1,1,1,4,1,0,100,37,9.282423,100
jefferson,LA,2,0,0,0,0,0,0,80,8,78,9.4928761,86
tauzin,LA,3,1,1,1,0,3,1,5,92,51,7.8223219,100
mccrery,LA,4,1,1,1,0,3,1,5,83,52,8.7693233,100
cooksey,LA,5,1,1,1,1,4,1,0,91,48,10.017959,100
baker,LA,6,1,1,1,1,4,1,0,100,50,8.1373787,51
john,LA,7,0,0,0,0,0,0,50,58,54,8.8569241,100
oliver,MA,1,0,0,0,0,0,0,95,0,61,17.195398,72
neal,MA,2,0,0,0,0,0,0,95,8,61,17.514446,100
mcgovern,MA,3,0,0,0,0,0,0,100,0,60,17.024248,57
frank,MA,4,0,0,0,0,0,0,100,0,64,17.288387,100
meehan,MA,5,0,0,0,0,0,0,100,0,58,15.821404,71
tierney,MA,6,0,0,0,0,0,0,100,0,59,16.001425,55
markey,MA,7,0,0,0,0,0,0,90,0,64,16.001425,71
kennedy,MA,8,0,0,0,0,0,0,95,0,77,16.001425,
moakley,MA,9,0,0,0,0,0,0,65,17,62,17.713915,100
delahunt,MA,10,0,0,0,0,0,0,100,0,56,16.443266,70
gilchrest,MD,1,1,1,1,0,3,1,35,64,43,14.75555,69
ehrlich,MD,2,1,1,1,0,3,1,5,75,40,16.168795,69
cardin,MD,3,0,0,0,0,0,0,95,0,58,15.231398,78
wynne,MD,4,0,0,0,0,0,0,100,0,81,12.144074,86
hoyer,MD,5,0,0,0,0,0,0,95,0,51,13.463659,66
bartlett,MD,6,1,1,1,1,4,1,5,100,38,14.434658,63
cummings,MD,7,0,0,0,0,0,0,100,0,81,14.828012,86
morrella,MD,8,0,0,0,0,0,1,65,17,57,12.144074,60
allen,ME,1,0,0,,,,0,100,0,52,14.709004,61
baldacci,ME,2,0,0,0,0,0,0,95,0,51,16.899323,76
stupak,MI,1,0,0,0,0,0,0,90,33,47,25.814585,59
hoekstra,MI,2,1,1,1,1,4,1,5,100,41,24.295656,69
ehlers,MI,3,1,1,1,1,4,1,25,92,39,18.188324,74
camp,MI,4,1,1,1,1,4,1,10,92,47,27.854136,100
barcia,MI,5,0,0,0,0,0,0,90,50,57,31.470131,72
upton,MI,6,1,1,1,0,3,1,15,75,46,20.87417,71
smith,MI,7,1,1,1,1,4,1,20,100,46,25.555786,58
stabenow,MI,8,0,0,0,0,0,0,100,0,49,28.390884,58
kildee,MI,9,0,0,0,0,0,0,95,42,46,29.609329,56
bonior,MI,10,0,0,0,0,0,0,95,8,49,26.713013,53
knollenberg,MI,11,1,1,1,1,4,1,0,100,46,26.713013,64
levin,MI,12,0,0,0,0,0,0,100,0,52,26.713013,56
rivers,MI,13,0,0,0,0,0,0,100,0,58,25.992731,59
conyers,MI,14,0,0,0,0,0,0,80,0,86,26.713013,87
kilpatrick,MI,15,0,0,0,0,0,0,90,0,87,26.713013,87
dingell,MI,16,0,0,0,0,0,0,85,8,54,26.713013,67
gutknecht,MN,1,1,1,1,1,4,1,5,100,48,20.152218,55
minge,MN,2,0,0,0,0,0,0,85,17,45,20.942667,58
ramstad,MN,3,1,0,1,0,2,1,20,42,47,21.45899,72
vento,MN,4,0,0,0,0,0,0,100,0,58,21.45899,54
sabo,MN,5,0,0,0,0,0,0,90,0,62,21.45899,67
luther,MN,6,0,0,0,0,0,0,90,8,51,21.400852,51
